ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,CustomStdWidth,CustomStdHeight,CustomStdLength
10,2017,6,5,CNTRL,EWR,189598,0,0,0
9,2018,1,5,CNTRL,SHA,4,44,12,64
8,2017,5,17,CNTRL,ELP,31,13,9,28
58,2016,7,17,CNTRL,HOU,1,12,12,14
25,2015,4,17,CNTRL,HOU,2,12,1,14
21,2017,2,18,CNTRL,CKG,65,1,1,1
10,2017,12,4,CNTRL,MTY,10050,122,120,102
13,2014,11,17,CNTRL,HOU,1,12,12,14
12,2016,7,9,CNTRL,SGF,10909,0,0,0
68,2016,3,9,CNTRL,DLC,9974,0,0,0
8,2014,11,7,CNTRL,SBN,6636,12,8,12
29,2015,8,17,CNTRL,HOU,7,12,12,14
11,2016,9,7,CNTRL,SEA,320,40,36,24
15,2015,10,7,CNTRL,PHX,2,10,5,10
8,2016,7,9,CNTRL,DLC,10848,0,0,0
19,2016,6,17,CNTRL,HOU,3,16,12,20
28,2016,4,7,CNTRL,PHX,4,10,5,10
7,2016,11,18,CNTRL,CKG,97,100,75,120
11,2014,12,3,CNTRL,STL,14462,40,42,48
8,2015,2,18,CNTRL,CKG,243,1,1,1
7,2015,4,18,CNTRL,CKG,103,100,75,120
9,2015,6,17,CNTRL,HOU,13,16,12,20
7,2016,5,18,CNTRL,CKG,174,1,1,1
8,2017,2,4,CNTRL,SIN,1650,100,131,120
8,2014,10,5,CNTRL,EWR,158733,0,0,0
7,2015,9,7,CNTRL,YYZ,2,25,20,31
7,2016,1,17,CNTRL,SFO,9,7,9,5
10,2016,1,5,CNTRL,SDF,496,24,26,39
26,2015,5,18,CNTRL,HKG,2,20,27,30
93,2016,11,5,CNTRL,SHA,3,44,12,64
8,2017,9,3,CNTRL,ONT,1,12,9,14
7,2016,11,17,CNTRL,SFO,2,8,7,9
7,2015,3,7,CNTRL,SDF,1545,36,28,41
15,2016,6,18,CNTRL,CKG,6,15,33,51
8,2017,3,4,CNTRL,AMS,49,100,80,120
13,2015,6,5,CNTRL,SDF,496,24,26,39
33,2017,8,5,CNTRL,SHA,4,44,12,64
8,2016,9,4,CNTRL,MTY,10650,122,120,102
7,2015,1,7,CNTRL,SEA,243,40,28,24
14,2015,7,18,CNTRL,KUB,69,1,1,1
8,2017,3,5,CNTRL,SHE,200,80,152,110
8,2017,3,17,CNTRL,ELP,2,9,3,10
14,2016,6,9,CNTRL,DLC,10860,0,0,0
