ShipmentCount,MonthNumber
7,2
7,2
8,2
9,2
9,2
9,2
9,2
10,2
11,2
11,2
13,2
13,2
15,2
15,2
16,2
17,2
18,2
22,2
27,2
31,2
32,2
34,2
34,2
36,2
36,2
37,2
60,2
65,2
141,2
7,1
7,1
7,1
8,1
8,1
9,1
9,1
9,1
9,1
9,1
9,1
10,1
12,1
12,1
13,1
14,1
17,1
21,1
25,1
28,1
31,1
34,1
37,1
37,1
43,1
61,1
142,1
7,12
7,12
7,12
8,12
8,12
8,12
10,12
10,12
14,12
14,12
14,12
16,12
17,12
21,12
30,12
37,12
52,12
61,12
240,12
7,11
7,11
7,11
7,11
7,11
7,11
7,11
8,11
8,11
8,11
8,11
9,11
9,11
10,11
11,11
11,11
11,11
12,11
21,11
22,11
23,11
27,11
29,11
39,11
70,11
216,11
7,10
7,10
7,10
8,10
9,10
9,10
9,10
9,10
9,10
10,10
12,10
12,10
13,10
14,10
14,10
17,10
17,10
22,10
27,10
32,10
41,10
47,10
82,10
188,10
7,9
7,9
7,9
7,9
8,9
9,9
11,9
12,9
12,9
12,9
13,9
14,9
20,9
21,9
22,9
23,9
33,9
34,9
46,9
46,9
69,9
96,9
7,8
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
10,8
10,8
10,8
11,8
11,8
11,8
11,8
12,8
12,8
12,8
13,8
14,8
14,8
15,8
15,8
15,8
16,8
16,8
16,8
17,8
19,8
22,8
24,8
29,8
29,8
30,8
44,8
51,8
53,8
54,8
112,8
158,8
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
9,7
9,7
9,7
9,7
9,7
10,7
10,7
10,7
10,7
10,7
10,7
11,7
12,7
12,7
12,7
14,7
14,7
15,7
15,7
15,7
15,7
16,7
16,7
16,7
17,7
19,7
22,7
24,7
24,7
24,7
25,7
28,7
29,7
33,7
33,7
36,7
40,7
42,7
47,7
57,7
76,7
134,7
175,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
10,6
10,6
10,6
10,6
10,6
11,6
11,6
12,6
12,6
12,6
12,6
12,6
12,6
13,6
14,6
14,6
15,6
15,6
16,6
16,6
16,6
17,6
17,6
17,6
18,6
18,6
19,6
21,6
22,6
25,6
33,6
41,6
45,6
45,6
53,6
56,6
56,6
68,6
173,6
175,6
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
8,5
8,5
8,5
8,5
8,5
8,5
9,5
9,5
9,5
9,5
9,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
12,5
12,5
12,5
12,5
14,5
14,5
14,5
14,5
14,5
15,5
16,5
16,5
17,5
17,5
19,5
19,5
19,5
20,5
20,5
22,5
27,5
27,5
30,5
31,5
40,5
41,5
48,5
49,5
59,5
76,5
144,5
151,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
8,4
9,4
9,4
10,4
10,4
10,4
10,4
10,4
11,4
11,4
11,4
11,4
12,4
13,4
14,4
15,4
15,4
16,4
16,4
16,4
17,4
18,4
19,4
19,4
20,4
20,4
21,4
22,4
22,4
23,4
23,4
24,4
28,4
30,4
31,4
35,4
37,4
49,4
50,4
52,4
76,4
92,4
170,4
7,3
7,3
7,3
7,3
7,3
7,3
7,3
7,3
7,3
7,3
8,3
8,3
8,3
8,3
8,3
8,3
8,3
8,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
11,3
11,3
11,3
11,3
11,3
11,3
12,3
12,3
12,3
12,3
13,3
13,3
14,3
14,3
14,3
15,3
16,3
16,3
16,3
17,3
17,3
18,3
19,3
19,3
20,3
20,3
21,3
21,3
22,3
23,3
23,3
24,3
25,3
26,3
34,3
35,3
37,3
39,3
40,3
42,3
47,3
63,3
75,3
199,3
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
8,2
8,2
8,2
8,2
9,2
9,2
9,2
9,2
10,2
10,2
10,2
11,2
11,2
11,2
12,2
12,2
12,2
12,2
12,2
13,2
14,2
14,2
15,2
15,2
16,2
16,2
16,2
17,2
22,2
22,2
22,2
23,2
26,2
27,2
29,2
34,2
34,2
46,2
46,2
53,2
130,2
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
9,1
9,1
9,1
9,1
9,1
10,1
10,1
10,1
10,1
10,1
11,1
11,1
11,1
11,1
11,1
11,1
12,1
12,1
12,1
13,1
13,1
13,1
13,1
14,1
14,1
14,1
14,1
14,1
16,1
16,1
16,1
16,1
16,1
17,1
18,1
18,1
20,1
20,1
20,1
22,1
23,1
24,1
25,1
