ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
7,2016,4,5,CNTRL,SIN,3
7,2016,4,5,CNTRL,SIN,8
8,2016,4,5,CNTRL,AMS,3
8,2016,4,5,CNTRL,MAA,157
8,2016,4,5,CNTRL,SIN,2
9,2016,4,5,CNTRL,PHX,1224
9,2016,4,5,CNTRL,SDF,4
10,2016,4,5,CNTRL,SHE,92
13,2016,4,5,CNTRL,PHX,1221
14,2016,4,5,CNTRL,SHA,1
17,2016,4,5,CNTRL,SDF,496
18,2016,4,5,CNTRL,SIN,1
21,2016,4,5,CNTRL,AMS,2
25,2016,4,5,CNTRL,AMS,1
7,2016,3,5,CNTRL,AMS,2
7,2016,3,5,CNTRL,AMS,6
7,2016,3,5,CNTRL,SDF,487
7,2016,3,5,CNTRL,SHE,90
7,2016,3,5,CNTRL,SHE,92
7,2016,3,5,CNTRL,SIN,4
