ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
11,2016,9,18,CNTRL,CKG,107
15,2016,5,18,CNTRL,HKG,10
25,2016,1,18,CNTRL,CKG,50
11,2016,5,18,CNTRL,HKG,4
10,2017,5,17,CNTRL,ELP,64
21,2016,7,18,CNTRL,CKG,60
16,2017,2,17,CNTRL,ELP,71
10,2016,2,7,CNTRL,TPE,4
15,2015,6,18,CNTRL,CKG,8
7,2015,3,3,CNTRL,ONT,29
12,2015,4,18,CNTRL,CKG,140
17,2017,8,18,CNTRL,CKG,117
39,2017,3,17,CNTRL,HOU,4
9,2017,12,18,CNTRL,CKG,154
36,2015,9,18,CNTRL,CKG,12
16,2017,4,18,CNTRL,CKG,68
12,2017,11,18,CNTRL,CKG,143
12,2015,4,18,CNTRL,CKG,103
8,2015,6,7,CNTRL,YYZ,4
8,2017,7,18,CNTRL,CKG,194
10,2015,2,18,CNTRL,CKG,49
31,2017,6,18,CNTRL,CKG,50
10,2017,10,18,CNTRL,CKG,21
9,2015,4,18,CNTRL,CKG,102
14,2016,5,17,CNTRL,HOU,10
20,2015,8,18,CNTRL,CKG,142
9,2014,10,18,CNTRL,SHA,3
31,2017,9,18,CNTRL,CKG,70
7,2015,2,18,CNTRL,HKG,9
29,2017,7,18,CNTRL,CKG,12
9,2015,7,18,CNTRL,CKG,164
10,2015,7,18,CNTRL,KUB,78
10,2018,2,18,CNTRL,CKG,90
7,2016,10,17,CNTRL,BUD,2
24,2017,9,18,CNTRL,CKG,11
7,2016,5,18,CNTRL,CKG,108
7,2017,3,5,CNTRL,SZX,1360
8,2017,4,18,CNTRL,KUB,581
10,2015,10,7,CNTRL,SIN,3
9,2016,10,18,CNTRL,CKG,91
23,2018,1,17,CNTRL,HOU,5
8,2015,3,5,CNTRL,AMS,12
8,2016,3,18,CNTRL,KUB,69
18,2016,6,18,CNTRL,CKG,79
13,2017,5,18,CNTRL,CKG,75
10,2017,3,18,CNTRL,KUB,21
7,2015,1,18,CNTRL,CKG,139
39,2015,3,17,CNTRL,HOU,7
39,2017,5,18,CNTRL,HKG,1
12,2015,2,17,CNTRL,HOU,33
11,2017,5,18,CNTRL,HKG,3
10,2017,11,5,CNTRL,SHA,5
8,2016,5,17,CNTRL,ELP,146
12,2017,5,17,CNTRL,ELP,49
10,2018,1,5,CNTRL,SHA,9
17,2016,5,18,CNTRL,CKG,89
14,2017,1,7,CNTRL,MKC,7
11,2016,5,17,CNTRL,HOU,9
9,2017,12,18,CNTRL,CKG,111
16,2015,4,18,CNTRL,CKG,59
9,2016,6,18,CNTRL,CKG,936
8,2016,3,18,CNTRL,CKG,19842
19,2015,11,5,CNTRL,SIN,4
10,2014,10,18,CNTRL,CKG,166
